Day,Entry Time,Exit Time,Meal Type,Number of People,Time Spent (minutes),Bill Amount ($),Gender,Table Location,Reservation,Customer Satisfaction,Live Music,Age Group,Weather Condition
Saturday,17:14,18:56,Dinner,4,102,117.08,Female,Window,FALSE,4,FALSE,18-25,Cloudy
Friday,22:13,23:15,Dinner,4,62,45.8,Female,Window,TRUE,2,FALSE,26-35,Snowy
Sunday,13:02,13:42,Lunch,3,40,34.64,Male,Center,FALSE,1,TRUE,36-45,Sunny
Friday,19:16,19:47,Breakfast,5,31,54.74,Male,Window,FALSE,3,FALSE,26-35,Rainy
Tuesday,18:53,20:18,Breakfast,5,145,100.54,Male,Patio,TRUE,2,FALSE,56-65,Sunny
Friday,19:27,19:03,Breakfast,5,36,88.38,Male,Patio,TRUE,5,TRUE,36-45,Snowy
Sunday,10:12,12:10,Dinner,5,178,166.7,Female,Center,TRUE,3,TRUE,46-55,Sunny
Friday,12:01,13:03,Breakfast,6,62,90.79,Other,Patio,FALSE,5,FALSE,18-25,Sunny
Monday,19:25,20:36,Breakfast,6,71,74.85,Female,Center,TRUE,4,TRUE,18-25,Cloudy
Friday,09:28,10:39,Lunch,5,71,102.04,Male,Window,TRUE,1,TRUE,65+,Rainy
Sunday,08:26,08:11,Breakfast,4,45,57.92,Female,Center,TRUE,5,TRUE,46-55,Cloudy
Monday,09:14,10:47,Dinner,4,93,84,Female,Center,FALSE,1,TRUE,46-55,Cloudy
Saturday,21:46,22:26,Breakfast,3,100,112.15,Other,Center,TRUE,4,FALSE,65+,Sunny
Wednesday,10:36,12:33,Lunch,2,177,149.69,Other,Center,FALSE,4,TRUE,65+,Sunny
Tuesday,22:12,22:50,Dinner,5,38,39.85,Female,Patio,TRUE,2,TRUE,46-55,Cloudy
Sunday,17:30,19:34,Dinner,2,124,86.64,Male,Patio,TRUE,2,FALSE,56-65,Snowy
Wednesday,13:09,13:57,Dinner,1,48,71.32,Female,Center,TRUE,4,FALSE,36-45,Sunny
Friday,09:28,10:43,Breakfast,4,75,80.47,Male,Center,TRUE,3,FALSE,36-45,Sunny
Monday,20:30,21:04,Breakfast,5,94,73.3,Other,Patio,TRUE,2,FALSE,46-55,Rainy
Friday,19:06,21:42,Breakfast,5,156,159.25,Other,Window,FALSE,4,TRUE,46-55,Sunny
Friday,17:14,19:21,Lunch,1,127,94.87,Female,Window,FALSE,4,FALSE,46-55,Rainy
Saturday,18:21,19:24,Lunch,5,63,72.67,Male,Center,TRUE,4,TRUE,26-35,Sunny
Tuesday,15:58,16:27,Dinner,4,89,75.2,Female,Window,TRUE,5,FALSE,26-35,Sunny
Wednesday,08:20,11:20,Breakfast,4,180,140.92,Male,Window,TRUE,4,FALSE,56-65,Cloudy
Wednesday,16:50,16:46,Breakfast,5,56,74.27,Male,Patio,TRUE,1,FALSE,36-45,Rainy
Thursday,11:52,12:56,Breakfast,5,64,71.45,Male,Center,FALSE,5,TRUE,18-25,Sunny
Friday,21:41,23:27,Breakfast,2,166,129.32,Female,Window,TRUE,1,TRUE,46-55,Cloudy
Sunday,10:08,11:49,Dinner,1,101,106.78,Male,Center,TRUE,2,FALSE,26-35,Snowy
Friday,10:49,12:41,Dinner,5,172,131.84,Female,Patio,TRUE,3,TRUE,46-55,Rainy
Monday,21:16,23:53,Breakfast,3,157,169.64,Other,Window,FALSE,5,TRUE,36-45,Rainy
Wednesday,16:26,18:31,Lunch,4,125,104.89,Female,Center,TRUE,2,TRUE,56-65,Sunny
Tuesday,20:52,21:30,Lunch,2,98,60.96,Male,Window,FALSE,3,FALSE,46-55,Snowy
Tuesday,09:32,10:28,Breakfast,2,116,126.61,Female,Center,TRUE,5,FALSE,18-25,Snowy
Wednesday,13:14,15:46,Lunch,6,152,113.59,Other,Window,FALSE,2,FALSE,65+,Cloudy
Monday,11:06,12:39,Dinner,5,93,100.26,Other,Window,TRUE,2,FALSE,65+,Snowy
Wednesday,21:39,22:53,Lunch,2,74,68.13,Other,Window,FALSE,2,FALSE,18-25,Snowy
Tuesday,08:57,09:43,Dinner,4,106,83.35,Male,Window,TRUE,4,FALSE,56-65,Rainy
